Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772823238,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772823239,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772823240,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772823241,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772823243,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772823244,60,,Aggregated,0.000000,0.000000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,10,10,4040.8934999722987,4044.6974499849603,4040.8934999722987,4049.020200036466,0.0
1772823245,70,,Aggregated,0.000000,0.000000,4000,4000,4000,4000,4100,4100,4100,4100,4100,4100,4100,20,20,4040.8934999722987,4045.955959992716,4040.8934999722987,4051.1983999749646,0.0
1772823246,80,,Aggregated,0.000000,0.000000,4000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,30,30,4040.8934999722987,4052.2147233365104,4040.8934999722987,4071.4905000058934,0.0
1772823247,90,,Aggregated,1.666667,1.666667,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,40,40,4071.4905000058934,4053.7612900021486,4040.8934999722987,4071.4905000058934,0.0
1772823248,100,,Aggregated,2.857143,2.857143,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,60,60,4083.11419992242,4056.011494992223,4040.8934999722987,4083.11419992242,0.0
1772823249,100,,Aggregated,3.750000,3.750000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,80,80,4083.11419992242,4054.360483743949,4040.8934999722987,4083.11419992242,0.0
